"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_km","duration_seconds","rpe"
"Evening workout 🏋️","Apr 26, 2026, 4:50 AM","Apr 26, 2026, 5:55 AM","","Lying Leg Curl (Machine)",,"",0,"normal",180,13,,,
"Evening workout 🏋️","Apr 26, 2026, 4:50 AM","Apr 26, 2026, 5:55 AM","","Lying Leg Curl (Machine)",,"",1,"normal",180,10,,,
"Evening workout 🏋️","Apr 26, 2026, 4:50 AM","Apr 26, 2026, 5:55 AM","","Spider Curl (Barbell)",,"One shown in picture",0,"normal",70,14,,,
"Late night workout 🌙","Apr 25, 2026, 7:07 AM","Apr 25, 2026, 8:46 AM","","Seated Row (Machine)",,"",0,"normal",215,8,,,
"Late night workout 🌙","Apr 25, 2026, 7:07 AM","Apr 25, 2026, 8:46 AM","","Seated Row (Machine)",,"",1,"normal",200,10,,,
"Late night workout 🌙","Apr 25, 2026, 7:07 AM","Apr 25, 2026, 8:46 AM","","Seated Row (Machine)",,"",2,"normal",195,9,,,
"Late night workout 🌙","Apr 25, 2026, 7:07 AM","Apr 25, 2026, 8:46 AM","","Overhead Press (Barbell)",,"",0,"normal",135,8,,,
"Late night workout 🌙","Apr 25, 2026, 7:07 AM","Apr 25, 2026, 8:46 AM","","Overhead Press (Barbell)",,"",1,"normal",115,16,,,
"Late night workout 🌙","Apr 25, 2026, 7:07 AM","Apr 25, 2026, 8:46 AM","","Lat Pulldown (Cable)",,"First set super wide",0,"normal",165,12,,,
"Late night workout 🌙","Apr 25, 2026, 7:07 AM","Apr 25, 2026, 8:46 AM","","Lat Pulldown - Close Grip (Cable)",,"2.5 on dropset",0,"normal",190,12,,,
"Late night workout 🌙","Apr 25, 2026, 7:07 AM","Apr 25, 2026, 8:46 AM","","Lat Pulldown - Close Grip (Cable)",,"2.5 on dropset",1,"normal",230,7,,,
"Late night workout 🌙","Apr 25, 2026, 7:07 AM","Apr 25, 2026, 8:46 AM","","Lat Pulldown - Close Grip (Cable)",,"2.5 on dropset",2,"dropset",180,2,,,
"Late night workout 🌙","Apr 25, 2026, 7:07 AM","Apr 25, 2026, 8:46 AM","","Iso-Lateral High Row (Machine)",,"",0,"normal",135,8,,,
"Late night workout 🌙","Apr 25, 2026, 7:07 AM","Apr 25, 2026, 8:46 AM","","Deadlift (Barbell)",,"Chalk, no straps first set
Straps on second set",0,"normal",375,6,,,
"Late night workout 🌙","Apr 25, 2026, 7:07 AM","Apr 25, 2026, 8:46 AM","","Deadlift (Barbell)",,"Chalk, no straps first set
Straps on second set",1,"normal",375,5,,,
"Late night workout 🌙","Apr 25, 2026, 7:07 AM","Apr 25, 2026, 8:46 AM","","Shrug (Barbell)",,"Power shrug",0,"normal",285,13,,,
"Late night workout 🌙","Apr 25, 2026, 7:07 AM","Apr 25, 2026, 8:46 AM","","Shrug (Barbell)",,"Power shrug",1,"normal",285,12,,,
"Late night workout 🌙","Apr 24, 2026, 6:56 AM","Apr 24, 2026, 8:49 AM","","Bench Press (Barbell)",,"",0,"normal",225,5,,,
"Late night workout 🌙","Apr 24, 2026, 6:56 AM","Apr 24, 2026, 8:49 AM","","Bench Press (Barbell)",,"",1,"normal",225,6,,,
"Late night workout 🌙","Apr 24, 2026, 6:56 AM","Apr 24, 2026, 8:49 AM","","Incline Bench Press (Dumbbell)",,"",0,"normal",80,10,,,
"Late night workout 🌙","Apr 24, 2026, 6:56 AM","Apr 24, 2026, 8:49 AM","","Incline Bench Press (Dumbbell)",,"",1,"normal",80,10,,,
"Late night workout 🌙","Apr 24, 2026, 6:56 AM","Apr 24, 2026, 8:49 AM","","Incline Bench Press (Dumbbell)",,"",2,"normal",80,9,,,
"Late night workout 🌙","Apr 24, 2026, 6:56 AM","Apr 24, 2026, 8:49 AM","","Chest Fly (Machine)",,"",0,"normal",175,16,,,
"Late night workout 🌙","Apr 24, 2026, 6:56 AM","Apr 24, 2026, 8:49 AM","","Chest Fly (Machine)",,"",1,"normal",175,12,,,
"Late night workout 🌙","Apr 24, 2026, 6:56 AM","Apr 24, 2026, 8:49 AM","","Chest Fly (Machine)",,"",2,"normal",220,2,,,
"Late night workout 🌙","Apr 24, 2026, 6:56 AM","Apr 24, 2026, 8:49 AM","","Chest Fly (Machine)",,"",3,"dropset",175,8,,,
"Late night workout 🌙","Apr 24, 2026, 6:56 AM","Apr 24, 2026, 8:49 AM","","Triceps Pushdown",,"",0,"normal",160,13,,,
"Late night workout 🌙","Apr 24, 2026, 6:56 AM","Apr 24, 2026, 8:49 AM","","Triceps Pushdown",,"",1,"normal",160,12,,,
"Late night workout 🌙","Apr 24, 2026, 6:56 AM","Apr 24, 2026, 8:49 AM","","Cable up lean forward triceps extension",,"",0,"normal",150,12,,,
"Late night workout 🌙","Apr 24, 2026, 6:56 AM","Apr 24, 2026, 8:49 AM","","Overhead Triceps Extension (Cable)",,"",0,"normal",115,10,,,
"Late night workout 🌙","Apr 22, 2026, 7:09 AM","Apr 22, 2026, 8:13 AM","","Preacher Curl (Barbell)",,"",0,"normal",100,13,,,
"Late night workout 🌙","Apr 22, 2026, 7:09 AM","Apr 22, 2026, 8:13 AM","","Preacher Curl (Barbell)",,"",1,"normal",100,10,,,
"Late night workout 🌙","Apr 22, 2026, 7:09 AM","Apr 22, 2026, 8:13 AM","","Single arm triceps pushdown",,"",0,"normal",60,15,,,
"Late night workout 🌙","Apr 22, 2026, 7:09 AM","Apr 22, 2026, 8:13 AM","","Single arm triceps pushdown",,"",1,"normal",55,12,,,
"Late night workout 🌙","Apr 22, 2026, 7:09 AM","Apr 22, 2026, 8:13 AM","","Seated Incline Curl (Dumbbell)",,"",0,"normal",45,8,,,
"Late night workout 🌙","Apr 22, 2026, 7:09 AM","Apr 22, 2026, 8:13 AM","","Seated Incline Curl (Dumbbell)",,"",1,"normal",40,12,,,
"Late night workout 🌙","Apr 22, 2026, 7:09 AM","Apr 22, 2026, 8:13 AM","","Lateral Raise (Dumbbell)",,"",0,"normal",30,20,,,
"Late night workout 🌙","Apr 22, 2026, 7:09 AM","Apr 22, 2026, 8:13 AM","","Seated Lateral Raise (Dumbbell)",,"Chest supported",0,"normal",30,12,,,
"Late night workout 🌙","Apr 22, 2026, 7:09 AM","Apr 22, 2026, 8:13 AM","","Seated Lateral Raise (Dumbbell)",,"Chest supported",1,"normal",30,12,,,
"Late night workout 🌙","Apr 21, 2026, 6:01 AM","Apr 21, 2026, 8:01 AM","","Incline Bench Press (Smith Machine)",,"High incline
Bit rest and widen grip after 8.5 on first set",0,"normal",195,9,,,
"Late night workout 🌙","Apr 21, 2026, 6:01 AM","Apr 21, 2026, 8:01 AM","","Incline Bench Press (Smith Machine)",,"High incline
Bit rest and widen grip after 8.5 on first set",1,"normal",190,8,,,
"Late night workout 🌙","Apr 21, 2026, 6:01 AM","Apr 21, 2026, 8:01 AM","","Pull Up (Weighted)",,"First set overhand
Second set neutral
Third set super overhand",0,"normal",27.22,7,,,
"Late night workout 🌙","Apr 21, 2026, 6:01 AM","Apr 21, 2026, 8:01 AM","","Pull Up (Weighted)",,"First set overhand
Second set neutral
Third set super overhand",1,"normal",22.68,8,,,
"Late night workout 🌙","Apr 21, 2026, 6:01 AM","Apr 21, 2026, 8:01 AM","","Pull Up (Weighted)",,"First set overhand
Second set neutral
Third set super overhand",2,"normal",20.41,6,,,
"Late night workout 🌙","Apr 21, 2026, 6:01 AM","Apr 21, 2026, 8:01 AM","","Pull Up (Weighted)",,"First set overhand
Second set neutral
Third set super overhand",3,"dropset",,6,,,
"Late night workout 🌙","Apr 21, 2026, 6:01 AM","Apr 21, 2026, 8:01 AM","","Chest Press (Machine)",,"",0,"normal",220,13,,,
"Late night workout 🌙","Apr 21, 2026, 6:01 AM","Apr 21, 2026, 8:01 AM","","Chest Fly (Machine)",,"",0,"normal",175,17,,,
"Late night workout 🌙","Apr 21, 2026, 6:01 AM","Apr 21, 2026, 8:01 AM","","Chest Fly (Machine)",,"",1,"normal",175,15,,,
"Late night workout 🌙","Apr 21, 2026, 6:01 AM","Apr 21, 2026, 8:01 AM","","T Bar Row",,"",0,"normal",135,7,,,
"Late night workout 🌙","Apr 21, 2026, 6:01 AM","Apr 21, 2026, 8:01 AM","","T Bar Row",,"",1,"normal",135,6,,,
"Late night workout 🌙","Apr 21, 2026, 6:01 AM","Apr 21, 2026, 8:01 AM","","T Bar Row",,"",2,"normal",115,8,,,
"Late night workout 🌙","Apr 21, 2026, 6:01 AM","Apr 21, 2026, 8:01 AM","","T Bar Row",,"",3,"normal",135,6,,,
"Evening workout 🏋️","Apr 19, 2026, 5:22 AM","Apr 19, 2026, 6:33 AM","","Preacher Curl (Barbell)",,"",0,"normal",100,12,,,
"Evening workout 🏋️","Apr 19, 2026, 5:22 AM","Apr 19, 2026, 6:33 AM","","Single arm triceps pushdown",,"Both arms together, cross body, with cuffs",0,"normal",55,16,,,
"Evening workout 🏋️","Apr 19, 2026, 5:22 AM","Apr 19, 2026, 6:33 AM","","Single arm triceps pushdown",,"Both arms together, cross body, with cuffs",1,"normal",45,19,,,
"Evening workout 🏋️","Apr 19, 2026, 5:22 AM","Apr 19, 2026, 6:33 AM","","Behind the Back Curl (Cable)",,"",0,"normal",32.5,15,,,
"Evening workout 🏋️","Apr 19, 2026, 5:22 AM","Apr 19, 2026, 6:33 AM","","Behind the Back Curl (Cable)",,"",1,"normal",27.5,22,,,
"Evening workout 🏋️","Apr 19, 2026, 5:22 AM","Apr 19, 2026, 6:33 AM","","Lateral Raise (Cable)",,"Behind the back, both arms together",0,"normal",45,15,,,
"Evening workout 🏋️","Apr 19, 2026, 5:22 AM","Apr 19, 2026, 6:33 AM","","Lateral Raise (Cable)",,"Behind the back, both arms together",1,"normal",45,15,,,
"Evening workout 🏋️","Apr 19, 2026, 5:22 AM","Apr 19, 2026, 6:33 AM","","Triceps Extension (Cable)",,"Long v bar",0,"normal",125,15,,,
"Evening workout 🏋️","Apr 19, 2026, 5:22 AM","Apr 19, 2026, 6:33 AM","","Triceps Extension (Cable)",,"Long v bar",1,"normal",125,14,,,
"Evening workout 🏋️","Apr 18, 2026, 5:26 AM","Apr 18, 2026, 6:32 AM","","Bench Press (Smith Machine)",,"8.5 first set",0,"normal",230,8,,,
"Evening workout 🏋️","Apr 18, 2026, 5:26 AM","Apr 18, 2026, 6:32 AM","","Bench Press (Smith Machine)",,"8.5 first set",1,"normal",230,7,,,
"Evening workout 🏋️","Apr 18, 2026, 5:26 AM","Apr 18, 2026, 6:32 AM","","Incline Bench Press (Smith Machine)",,"Low incline",0,"normal",180,10,,,
"Evening workout 🏋️","Apr 18, 2026, 5:26 AM","Apr 18, 2026, 6:32 AM","","Incline Bench Press (Smith Machine)",,"Low incline",1,"normal",200,10,,,
"Evening workout 🏋️","Apr 18, 2026, 5:26 AM","Apr 18, 2026, 6:32 AM","","Deadlift (Barbell)",,"",0,"normal",405,2,,,
"Evening workout 🏋️","Apr 18, 2026, 5:26 AM","Apr 18, 2026, 6:32 AM","","Chest Fly (Machine)",,"",0,"normal",175,17,,,
"Evening workout 🏋️","Apr 18, 2026, 5:26 AM","Apr 18, 2026, 6:32 AM","","Chest Fly (Machine)",,"",1,"normal",175,16,,,
"Evening workout 🏋️","Apr 18, 2026, 5:26 AM","Apr 18, 2026, 6:32 AM","","Seated Row (Machine)",,"",0,"normal",215,8,,,
"Evening workout 🏋️","Apr 18, 2026, 5:26 AM","Apr 18, 2026, 6:32 AM","","Seated Row (Machine)",,"",1,"normal",200,9,,,
"Evening workout 🏋️","Apr 18, 2026, 5:26 AM","Apr 18, 2026, 6:32 AM","","Seated Row (Machine)",,"",2,"normal",195,9,,,
"Evening workout 🏋️","Apr 18, 2026, 5:26 AM","Apr 18, 2026, 6:32 AM","","Lat Pulldown (Cable)",,"",0,"normal",180,10,,,
"Evening workout 🏋️","Apr 18, 2026, 5:26 AM","Apr 18, 2026, 6:32 AM","","Lat Pulldown (Cable)",,"",1,"normal",180,10,,,
"Evening workout 🏋️","Apr 18, 2026, 5:26 AM","Apr 18, 2026, 6:32 AM","","Lat Pulldown (Cable)",,"",2,"normal",185,8,,,
"Evening workout 🏋️","Apr 17, 2026, 5:59 AM","Apr 17, 2026, 7:07 AM","","Reverse Preacher Curl (EZ Bar)",,"",0,"normal",60,18,,,
"Evening workout 🏋️","Apr 17, 2026, 5:59 AM","Apr 17, 2026, 7:07 AM","","Reverse Preacher Curl (EZ Bar)",,"",1,"normal",60,18,,,
"Evening workout 🏋️","Apr 17, 2026, 5:59 AM","Apr 17, 2026, 7:07 AM","","Triceps Extension (Barbell)",,"",0,"normal",80,12,,,
"Evening workout 🏋️","Apr 17, 2026, 5:59 AM","Apr 17, 2026, 7:07 AM","","Triceps Extension (Barbell)",,"",1,"normal",80,12,,,
"Evening workout 🏋️","Apr 17, 2026, 5:59 AM","Apr 17, 2026, 7:07 AM","","Spider Curl (Barbell)",,"Facing backwards on preacher bench",0,"normal",80,8,,,
"Evening workout 🏋️","Apr 17, 2026, 5:59 AM","Apr 17, 2026, 7:07 AM","","Spider Curl (Barbell)",,"Facing backwards on preacher bench",1,"normal",80,7,,,
"Evening workout 🏋️","Apr 17, 2026, 5:59 AM","Apr 17, 2026, 7:07 AM","","Single arm triceps pushdown",,"14 on right arm first set",0,"normal",55,16,,,
"Evening workout 🏋️","Apr 17, 2026, 5:59 AM","Apr 17, 2026, 7:07 AM","","Chest Fly (Machine)",,"",0,"normal",175,17,,,
"Evening workout 🏋️","Apr 17, 2026, 5:59 AM","Apr 17, 2026, 7:07 AM","","Chest Fly (Machine)",,"",1,"normal",190,10,,,
"Evening workout 🏋️","Apr 17, 2026, 5:59 AM","Apr 17, 2026, 7:07 AM","","Rear Delt Reverse Fly (Machine)",,"",0,"normal",200,12,,,
"Evening workout 🏋️","Apr 17, 2026, 5:59 AM","Apr 17, 2026, 7:07 AM","","Rear Delt Reverse Fly (Machine)",,"",1,"normal",200,10,,,
"Evening workout 🏋️","Apr 17, 2026, 5:59 AM","Apr 17, 2026, 7:07 AM","","Shrug (Barbell)",,"",0,"normal",195,15,,,
"Evening workout 🏋️","Apr 17, 2026, 5:59 AM","Apr 17, 2026, 7:07 AM","","Shrug (Barbell)",,"",1,"normal",195,11,,,
"Evening workout 🏋️","Apr 17, 2026, 5:59 AM","Apr 17, 2026, 7:07 AM","","Shrug (Barbell)",,"",2,"normal",185,9,,,
"Evening workout 🏋️","Apr 16, 2026, 5:52 AM","Apr 16, 2026, 7:01 AM","","Bulgarian Split Squat",,"7 on right leg 2nd and 3rd set",0,"normal",75,11,,,
"Evening workout 🏋️","Apr 16, 2026, 5:52 AM","Apr 16, 2026, 7:01 AM","","Bulgarian Split Squat",,"7 on right leg 2nd and 3rd set",1,"normal",75,9,,,
"Evening workout 🏋️","Apr 16, 2026, 5:52 AM","Apr 16, 2026, 7:01 AM","","Bulgarian Split Squat",,"7 on right leg 2nd and 3rd set",2,"normal",75,10,,,
"Evening workout 🏋️","Apr 16, 2026, 5:52 AM","Apr 16, 2026, 7:01 AM","","Overhead Press (Barbell)",,"",0,"normal",115,15,,,
"Evening workout 🏋️","Apr 16, 2026, 5:52 AM","Apr 16, 2026, 7:01 AM","","Overhead Press (Barbell)",,"",1,"normal",115,12,,,
"Evening workout 🏋️","Apr 16, 2026, 5:52 AM","Apr 16, 2026, 7:01 AM","","Lateral Raise (Dumbbell)",,"Plates",0,"dropset",25,9,,,
"Evening workout 🏋️","Apr 16, 2026, 5:52 AM","Apr 16, 2026, 7:01 AM","","Lateral Raise (Dumbbell)",,"Plates",1,"normal",25,14,,,
"Evening workout 🏋️","Apr 16, 2026, 5:52 AM","Apr 16, 2026, 7:01 AM","","Leg Extension (Machine)",,"",0,"normal",240,11,,,
"Evening workout 🏋️","Apr 16, 2026, 5:52 AM","Apr 16, 2026, 7:01 AM","","Leg Extension (Machine)",,"",1,"normal",240,10,,,
"Evening workout 🏋️","Apr 16, 2026, 5:52 AM","Apr 16, 2026, 7:01 AM","","Sissy squat",,"",0,"dropset",,7,,,
"Evening workout 🏋️","Apr 16, 2026, 5:52 AM","Apr 16, 2026, 7:01 AM","","Sissy squat",,"",1,"dropset",,7,,,
"Evening workout 🏋️","Apr 16, 2026, 5:52 AM","Apr 16, 2026, 7:01 AM","","Seated Calf Raise",,"",0,"normal",50,15,,,
"Evening workout 🏋️","Apr 16, 2026, 5:52 AM","Apr 16, 2026, 7:01 AM","","Seated Calf Raise",,"",1,"normal",50,15,,,
"Late night workout 🌙","Apr 15, 2026, 5:30 AM","Apr 15, 2026, 7:01 AM","","Incline Bench Press (Smith Machine)",,"High incline
10.5 first set",0,"normal",190,10,,,
"Late night workout 🌙","Apr 15, 2026, 5:30 AM","Apr 15, 2026, 7:01 AM","","Incline Bench Press (Smith Machine)",,"High incline
10.5 first set",1,"normal",190,8,,,
"Late night workout 🌙","Apr 15, 2026, 5:30 AM","Apr 15, 2026, 7:01 AM","","Incline Bench Press (Smith Machine)",,"High incline
10.5 first set",2,"normal",180,8,,,
"Late night workout 🌙","Apr 15, 2026, 5:30 AM","Apr 15, 2026, 7:01 AM","","Pull Up (Weighted)",,"7.5 first set
Overhand grip",0,"normal",27.22,7,,,
"Late night workout 🌙","Apr 15, 2026, 5:30 AM","Apr 15, 2026, 7:01 AM","","Pull Up (Weighted)",,"7.5 first set
Overhand grip",1,"normal",27.22,6,,,
"Late night workout 🌙","Apr 15, 2026, 5:30 AM","Apr 15, 2026, 7:01 AM","","Pull Up (Weighted)",,"7.5 first set
Overhand grip",2,"normal",20.41,6,,,
"Late night workout 🌙","Apr 15, 2026, 5:30 AM","Apr 15, 2026, 7:01 AM","","Wide Pull Up",,"Super wide. Dropset into different grips (got 1 or half with each)",0,"normal",,9,,,
"Late night workout 🌙","Apr 15, 2026, 5:30 AM","Apr 15, 2026, 7:01 AM","","Lat Pulldown (Cable)",,"Neutral wider grip",0,"normal",170,10,,,
"Late night workout 🌙","Apr 15, 2026, 5:30 AM","Apr 15, 2026, 7:01 AM","","Lat Pulldown (Cable)",,"Neutral wider grip",1,"normal",170,6,,,
"Late night workout 🌙","Apr 15, 2026, 5:30 AM","Apr 15, 2026, 7:01 AM","","Chest Fly (Machine)",,"New machine
3rd notch from front
Second set old machine third notch then dropset to first notch 1 rep",0,"normal",175,15,,,
"Late night workout 🌙","Apr 15, 2026, 5:30 AM","Apr 15, 2026, 7:01 AM","","Chest Fly (Machine)",,"New machine
3rd notch from front
Second set old machine third notch then dropset to first notch 1 rep",1,"normal",175,14,,,
"Late night workout 🌙","Apr 15, 2026, 5:30 AM","Apr 15, 2026, 7:01 AM","","Chest Fly (Machine)",,"New machine
3rd notch from front
Second set old machine third notch then dropset to first notch 1 rep",2,"dropset",175,1,,,
